FECHA,PRECIPITACION,EMBALSE_NOMBRE
14-12-2014,6.4,Aldeadávila
15-12-2014,0.6,Aldeadávila
16-12-2014,2.4,Aldeadávila
17-12-2014,0,Aldeadávila
18-12-2014,0,Aldeadávila
19-12-2014,0,Aldeadávila
20-12-2014,0,Aldeadávila
21-12-2014,0,Aldeadávila
22-12-2014,0,Aldeadávila
23-12-2014,0,Aldeadávila
24-12-2014,0,Aldeadávila
25-12-2014,0,Aldeadávila
26-12-2014,0,Aldeadávila
27-12-2014,0,Aldeadávila
28-12-2014,0.2,Aldeadávila
29-12-2014,0,Aldeadávila
30-12-2014,0,Aldeadávila
31-12-2014,0 ,Aldeadávila
01-01-2015,0,Aldeadávila
02-01-2015,0,Aldeadávila
03-01-2015,0,Aldeadávila
04-01-2015,0,Aldeadávila
05-01-2015,0,Aldeadávila
06-01-2015,0,Aldeadávila
07-01-2015,0,Aldeadávila
08-01-2015,0,Aldeadávila
09-01-2015,0,Aldeadávila
10-01-2015,0,Aldeadávila
11-01-2015,0,Aldeadávila
12-01-2015,0,Aldeadávila
13-01-2015,0,Aldeadávila
14-01-2015,0.2,Aldeadávila
15-01-2015,6.6,Aldeadávila
16-01-2015,0.6,Aldeadávila
17-01-2015,0.4,Aldeadávila
18-01-2015,4.6,Aldeadávila
19-01-2015,0,Aldeadávila
20-01-2015,0.4,Aldeadávila
21-01-2015,0.2,Aldeadávila
22-01-2015,0,Aldeadávila
23-01-2015,0,Aldeadávila
24-01-2015,0,Aldeadávila
25-01-2015,0,Aldeadávila
26-01-2015,0,Aldeadávila
27-01-2015,0,Aldeadávila
28-01-2015,0,Aldeadávila
29-01-2015,0.4,Aldeadávila
30-01-2015,12.8,Aldeadávila
31-01-2015,6.4,Aldeadávila
01-02-2015,0,Aldeadávila
02-02-2015,7.6,Aldeadávila
03-02-2015,1.6,Aldeadávila
04-02-2015,0,Aldeadávila
05-02-2015,0,Aldeadávila
06-02-2015,0,Aldeadávila
07-02-2015,0,Aldeadávila
08-02-2015,0,Aldeadávila
09-02-2015,0,Aldeadávila
10-02-2015,0,Aldeadávila
11-02-2015,0,Aldeadávila
12-02-2015,0,Aldeadávila
13-02-2015,0.2,Aldeadávila
14-02-2015,5.4,Aldeadávila
15-02-2015,0.2,Aldeadávila
16-02-2015,0,Aldeadávila
17-02-2015,0,Aldeadávila
18-02-2015,0,Aldeadávila
19-02-2015,0,Aldeadávila
20-02-2015,1,Aldeadávila
21-02-2015,1.2,Aldeadávila
22-02-2015,0,Aldeadávila
23-02-2015,0,Aldeadávila
24-02-2015,0,Aldeadávila
25-02-2015,0,Aldeadávila
26-02-2015,0,Aldeadávila
27-02-2015,0,Aldeadávila
28-02-2015,0,Aldeadávila
01-03-2015,0.4,Aldeadávila
02-03-2015,0,Aldeadávila
03-03-2015,0,Aldeadávila
04-03-2015,0,Aldeadávila
05-03-2015,0,Aldeadávila
06-03-2015,0,Aldeadávila
07-03-2015,0,Aldeadávila
08-03-2015,0,Aldeadávila
09-03-2015,0,Aldeadávila
10-03-2015,0,Aldeadávila
11-03-2015,0,Aldeadávila
12-03-2015,0,Aldeadávila
13-03-2015,0,Aldeadávila
14-03-2015,0,Aldeadávila
15-03-2015,0,Aldeadávila
16-03-2015,0,Aldeadávila
17-03-2015,0,Aldeadávila
18-03-2015,0,Aldeadávila
19-03-2015,0,Aldeadávila
20-03-2015,0,Aldeadávila
21-03-2015,0.8,Aldeadávila
22-03-2015,0,Aldeadávila
